stimulus_id	type	description	HED	NSD_id	present
stim-nsd02951	image	The photograph depicts an outdoor market scene dominated by a large mound of bright orange carrots occupying the center and lower-center foreground, spread across a dark surface. In the lower-left foreground sit red mesh bags filled with what appear to be onions or produce, and a white woven sack rests at the bottom of the frame. To the left of the carrots, in the mid-ground, are bundles of green vegetables, likely leafy greens or beans. On the right side of the frame, a man wearing a light-colored, long-sleeved shirt and dark pants leans forward over the produce, his hands reaching toward the goods, suggesting he is arranging or selecting items. In the background, positioned center and left, several people stand and move about; one figure wears a blue jacket, another a green shirt, and a woman in the upper-center wears a dark head covering. Market stalls, canopies, and a blue-patterned umbrella occupy the upper portion of the frame. The lighting is bright and natural, consistent with daytime sun, casting shadows on the ground. The overall color scheme combines vivid oranges, reds, and greens against muted browns and neutral tones, creating a busy, layered composition.	Sensory-event, Visual-presentation, Photograph, Outdoors, (Label/Item-count-Some, (Orange, Ingestible-object/Staple-food, Sweet), (Center-of, Foreground-view)), ((Red, Ingestible-object/Staple-food), (Lower-left-of, Foreground-view)), (White, Man-made-object, Label/Woven-sack), ((Green, Ingestible-object/Staple-food), (To-left-of, Foreground-view)), ((Human-agent, Male, (White, Clothing), (Bend, Torso)), Interacts-with, (Ingestible-object/Staple-food)), (Label/Item-count-Some, Human-agent, Background-view), ((Human-agent, (Blue, Clothing)), Background-view), ((Human-agent, (Green, Clothing)), Background-view), ((Human-agent, Female, (Dark-shade, Clothing, Head)), Upper-center-of), (Building-part, Upper-center-of), ((Blue, Pattern, Man-made-object, Label/Umbrella), Upper-center-of), (Light-shade, Luminance), Man-made-object/Market	2951	false
stim-nsd02991	image	In the foreground occupying the right and lower-center of the frame, a man wearing a white chef's jacket and a dark blue cap pours liquid from a stainless steel measuring pot into a larger metal stockpot positioned on a stainless steel countertop; directly below and to his right rests a portion of cooked meat, reddish-brown in color, on the metal surface. In the lower-left foreground, a second person in a white chef's jacket over a dark apron leans forward, hands reaching toward a light-colored cardboard box labeled with text including the word "wrap," beside a rectangular metal tray. Both individuals interact with cooking equipment rather than each other. In the background, spanning center to left, are large stainless steel commercial ovens with multiple doors marked by red accents and vertical handles, along with a metallic overhead range hood at the upper portion of the frame from which a hanging utensil, possibly a ladle, is suspended on the upper left. The overall color scheme is dominated by silver and gray metallic tones, white uniforms, and warm ambient lighting reflecting off polished surfaces, creating a balanced, symmetrical composition centered on the two working figures.	Sensory-event, Visual-presentation, ((Human-agent, (Clothing, White), (Clothing, Blue)), (In-front-of, ((Right-side-of, Lower-center-of), Foreground-view))), (Human-agent, (Label/Pour, (Manufactured-material/Metal, Man-made-object/Container))), (((Human-agent), Interacts-with, (Manufactured-material/Metal, Man-made-object/Container))), ((Manufactured-material/Metal, Man-made-object/Container), (Top-of, (Manufactured-material/Metal, Furnishing))), ((Ingestible-object/Main-dish, Savory, Brown), (Below, (Manufactured-material/Metal, Furnishing))), ((Human-agent, (Clothing, White), (Clothing, Black)), ((Lower-left-of, Foreground-view))), (Human-agent, (Reach, (Box, Label/wrap))), (((Human-agent), Interacts-with, (Box, Label/wrap))), ((Rectangle, Manufactured-material/Metal, Furnishing), (Adjacent-to, (Box, Label/wrap))), ((Machine, Manufactured-material/Metal, (Door, Red)), (Background-view, (Center-of, Left-side-of))), ((Furnishing, Manufactured-material/Metal), (Upper-center-of, Background-view)), ((Tool, (Hold-down)), (Upper-left-of, Background-view)), (Silver, Gray, White), Symmetrical	2991	false
stim-nsd03050	image	A surfer occupies the center of the frame, standing on a light blue surfboard that sits in the lower-center portion of the image; the person wears a dark navy or black full-body wetsuit and bends forward at the waist with knees flexed and arms extended slightly, balancing in an active riding posture. The surfer's board rests on churning white foam in the mid-lower center, where the wave breaks. A curling wave dominates the middle and right side of the frame, its crest peaking on the right with white spray and foam cascading down its face, while the left side shows a smoother teal-green wave wall in the foreground. The background upper portion displays deeper, darker blue-gray open ocean water with a slightly textured surface. The overall color scheme is dominated by cool tones—turquoise, teal, navy, and white foam—creating a monochromatic aquatic palette. Lighting appears bright and natural, likely daytime sunlight, casting mild highlights on the wave crest and the surfer's wetsuit. Compositionally, the surfer serves as the central focal point, framed between the breaking wave on the right and the descending wave slope on the left, creating diagonal movement across the frame.	Sensory-event, Visual-presentation, ((Human-agent, Experiment-participant), (Ride, ((Light-shade, Blue, Item/Surfboard), Lower-center-of))), (Human-agent, (Clothing, Label/Wetsuit, Black)), (Human-agent, Bend, (Knee, Flex)), ((Item/Surfboard), (Contained-in, (White, Natural-feature/Foam, Center-of))), (Label/Item-Wave, Right-side-of, (White, Item/Spray)), (Label/Item-Wave, Left-side-of, (Teal, Green, Foreground-view)), (Blue-color, Gray, Background-view, Natural-feature/Water), (Turquoise, Teal, Navy, White), Outdoors, (Natural-feature/Ocean, Background-view)	3050	false
stim-nsd03078	image	In the immediate foreground occupying the lower portion of the frame lies a gray-brown sandy beach, upon which rest three kayaks arranged horizontally across the bottom edge: a red-and-orange kayak on the left, a bright orange kayak in the lower center, and a red kayak on the lower right. Behind them in the middle ground stretches a broad expanse of gray-blue water with a shimmering, light-reflective surface. Centered in this water, slightly right of the frame's middle, stands a person on a windsurf board, gripping a tall sail composed of vivid pink, blue, cyan, and yellow panels; the sail rises vertically into the upper-center region and is the most saturated color element. In the background, filling the upper half of the frame, are rolling hills covered in dark green vegetation on the left and dry, tan-golden grassy slopes toward the upper right, indicating bright daylight. The lighting appears natural and strong, casting sparkling highlights on the water. The overall composition is horizontally layered—beach, water, hills—with a muted natural palette of greens, tans, and grays punctuated by the saturated kayaks and sail.	Sensory-event, Visual-presentation, Outdoors, Real-world, Natural-object, (Foreground-view, (Dirt-terrain, Gray, Brown), (Lower-center-of, Image)), (Item-count/3, (Boat, Red, Orange)), ((Boat, Red, Orange), (Left-side-of, Image)), ((Boat, Orange), (Lower-center-of, Image)), ((Boat, Red), (Lower-right-of, Image)), (Background-view, (River, Gray, Blue, Label/Luminance-contrast-High), (Center-of, Image)), ((Human-agent, Standing), Interacts-with, (Boat, (Center-of, Image))), ((Human-agent), (Grasp, (Item, Pink, Blue, Cyan, Yellow, Vertically-oriented, (Upper-center-of, Image)))), (Background-view, (Hill, Green, Dark-shade), (Upper-left-of, Image)), (Background-view, (Grassy-terrain, Tan, Yellow), (Upper-right-of, Image)), (Label/Luminance-High, Luminance/Daytime), (Natural-feature/Beach, Foreground-view)	3078	false
stim-nsd03147	image	The photograph depicts an old church occupying the center and right portions of the frame, with a tall brick tower rising in the upper center-right, topped by a black-faced clock and small vented openings near its peak. The church's roofs are covered in reddish-brown tiles, while the lower walls are rendered in pale white and gray plaster, punctuated by arched windows outlined in red brick on the left-center and a covered timber porch entrance in the center. In the foreground, a light beige gravel path curves from the lower center toward the porch, bordered by green grass that fills the lower portion of the frame. Numerous weathered gray gravestones are scattered across the grass in the lower-left, lower-center, and lower-right, some leaning at angles. A small black object rests on the grass in the lower-right corner. Bare, leafless trees appear in the upper-right background, indicating cool-season conditions. The overall color scheme combines earthy reds, muted whites, grays, and green, under soft, diffuse, overcast lighting that produces minimal shadows. The composition balances the vertical tower against horizontal roof lines and the curving foreground path.	Sensory-event, Visual-presentation, Photograph, (Building, Label/Church, (Center-of, Photograph)), ((Building-part, Label/Tower, Manufactured-material/Brick), Above, (Building, Label/Church)), (Clock-face, Black, (Top-of, (Building-part, Label/Tower))), ((Roof, Red-color, Brown-color), Top-of, (Building, Label/Church)), (Building-part, White, Gray-color), ((Window, Red, (Building-part, Label/Arched)), Left-side-of, (Building, Label/Church)), (Door, (Building-part, Label/Timber-porch), Center-of, (Building, Label/Church)), (Path, Beige, Gravel-terrain, (Lower-center-of, Photograph)), (Grassy-terrain, Green, (Below, Photograph)), (Group-of, Sculpture, Gray-color, Label/Gravestones, (Lower-left-of, Photograph)), (Object, Black, (Lower-right-of, Photograph)), (Group-of, Plant, Label/Bare-trees, (Upper-right-of, Photograph)), (Label/Luminance-contrast-Low, Label/Overcast)	3147	false
stim-nsd03158	image	The photograph centers on a white ceramic bowl filling most of the frame, containing a stir-fried dish shot from a slightly elevated angle. In the foreground, occupying the lower and central portions, are cubed white and browned tofu or radish pieces, alongside irregular clumps of golden-brown fried or crumbled meat and darker cooked greens. Scattered across the top surface, chiefly in the upper-center and upper-right, are bright green sliced scallion rings that provide vivid color contrast against the warmer tones below. Small pale spherical items, possibly quail eggs or garlic cloves, appear in the center and lower-right of the dish. In the upper background, out of focus, the white rim of the bowl curves along with a blurred dark horizontal band and a faint pale object at the top edge, likely a spoon handle or utensil. The overall color scheme is dominated by warm browns, golden oranges, and off-white ceramic, punctuated by the green scallions. Lighting is soft and directional, brightening the upper-left food surfaces while casting subtle shadows in the crevices. The composition is tightly cropped, filling the frame and emphasizing texture, with shallow depth of field.	Sensory-event, Visual-presentation, Photograph, ((Ingestible-object/Main-dish, Savory), (Center-of, (White, Ceramic, Man-made-object/Bowl))), ((Cube, White, Ingestible-object/Main-dish), Lower-center-of), (Brown, Ingestible-object/Main-dish), ((Green, Ingestible-object/Main-dish), Upper-right-of), ((White, Ingestible-object/Main-dish), Lower-right-of), (Background-view, (White, Ceramic, Man-made-object/Bowl)), (Shallow, Depth), Aerial-view	3158	false
stim-nsd03165	image	The photograph is dominated by a white ceramic cup filled with a latte, positioned in the center-right of the frame, resting on a blue saucer in the foreground; the latte's surface displays a leaf-and-heart pattern created in the foam, and a silver spoon lies on the saucer to the left of the cup, its handle pointing toward the lower-left. The scene rests on a wooden table with prominent horizontal grain, occupying the entire background surface. In the upper-left corner, a white plate holds what appears to be a reddish-brown pastry, partially cut off by the frame's edge. Along the left side, in the middle-ground, sits a dark reddish-brown baked item on a white napkin, also partially cropped. In the upper-right corner, a clear glass of water is visible, and toward the lower-right edge, a white card or paper printed with partial black text reading "DR" and "COFF" appears. The color scheme combines warm brown wood tones with the cool blue saucer and creamy tan latte, creating contrast. Lighting is soft and diffuse, appearing natural, casting gentle shadows beneath the cup and objects, with the overall composition slightly warm-toned.	Sensory-event, Visual-presentation, Photograph, ((White, Ceramic, (Man-made-object/Cup, Ingestible-object/Main-dish, Sweet)), (Center-of, Foreground-view)), ((Man-made-object/Cup, Ceramic, White), Above, (Blue, Label/Saucer)), ((Leaf-covered-terrain, Label/Heart, Pattern), Part-of, (Man-made-object/Cup, Ingestible-object/Main-dish)), ((Silver, Label/Spoon), To-left-of, (Man-made-object/Cup, Ceramic, White)), (Manufactured-material/Wooden, Man-made-object/Table, Horizontally-oriented, Background-view), ((White, Man-made-object/Plate, (Ingestible-object/Dessert, Brown-color, Red-color, Sweet)), Upper-left-of), ((Brown-color, Red-color, Ingestible-object/Staple-food), (White, Paper), Left-side-of), ((Glass, Volume, Upper-right-of)), ((White, Paper, (Character, Black, Label/DR), (Character, Black, Label/COFF)), Lower-right-of), (Brown-color, Blue, Tan), (Label/Luminance-contrast-Low)	3165	false
stim-nsd03172	image	Three women occupy the foreground of this outdoor scene, arranged across the lower-center and lower portions of the frame, standing on flat green grass. On the left, a woman wears a white jersey with dark blue shorts, her knees bent and arms lowered, gazing upward. In the center, a woman in a dark hooded jacket, light teal shirt, and black shorts leaps into the air with both arms raised overhead, reaching toward a white flying disc positioned in the upper-center region of the frame just above her hands. On the right, a third woman wears a light gray shirt and dark shorts, arms extended upward, also looking toward the disc, indicating a shared interaction focused on catching the frisbee. The background, filling the entire upper half of the frame, consists of a dense wall of green trees and foliage, with a small strip of open grass visible behind the players. The overall color scheme is dominated by greens from vegetation and grass, contrasted with the players' white, teal, and dark clothing. Lighting appears bright and natural, casting soft shadows beneath the figures, suggesting daylight and an open, uncluttered composition.	Sensory-event, Visual-presentation, Outdoors, ((Human-agent, Female)), (Foreground-view, ((Human-agent, Female, (White, Clothing), (Blue, Clothing)), (Lower-left-of, Screen-window))), ((Human-agent, Female, (Teal, Clothing), (Black, Clothing), (Jump, (Reach, Label/Disc))), (Center-of, Screen-window)), ((Human-agent, Female, (Gray, Clothing), (Reach, Label/Disc)), (Lower-right-of, Screen-window)), (Label/Disc, White, (Upper-center-of, Screen-window)), ((Human-agent), Interacts-with, (Label/Disc)), (Background-view, (Green, Plant), (Upper-center-of, Screen-window)), (Green, Grassy-terrain), (Label/Luminance-contrast-High)	3172	false
stim-nsd03182	image	In the foreground, centered and occupying the lower-to-middle portion of the frame, a tabby-and-white cat crouches on a dark, glossy surface that reflects light along its curved edge, consistent with a car roof. The cat faces the viewer with its head turned slightly left of center; its body is oriented rightward, tail curled toward the right edge, and its white front paws rest visibly on the reflective surface. The cat displays gray-brown striped fur across its back and head, with white on its muzzle, chest, and legs, and its eyes appear light greenish-yellow. The background, spanning the upper half of the frame, is blurred and out of focus, showing muted green foliage on the upper right, indistinct reddish and brown tones on the upper left, and a pale gray horizontal band—possibly a wall—running behind the cat. Lighting appears soft and diffused, illuminating the cat's face and body from the front-left without harsh shadows. The overall color scheme combines cool grays and greens with warmer brown accents. Compositionally, the sharply focused cat contrasts against the soft background, with a small white watermark visible in the lower-right corner.	Sensory-event, Visual-presentation, ((Animal-agent, Animal/Cat, (Gray-color, Brown, White, Label/Striped)), (Crouching)), ((Animal-agent, Animal/Cat), (Lower-center-of, Foreground-view)), ((Animal-agent, Animal/Cat), Interacts-with, (Car, Roof)), ((Car, Roof), (Black, Smooth)), (Background-view, (Green-color, Brown, Gray-color), Luminance/Blurred), (Green-color, Upper-right-of), (Brown, Upper-left-of), (Gray-color, Behind, (Animal-agent, Animal/Cat)), (Eye, (Green-color, Yellow)), (Face, Leftward), (Torso, Rightward)	3182	false
stim-nsd03387	image	In the foreground, positioned center-left and occupying the vertical middle of the frame, a shirtless man crouches in an active surfing stance on a white surfboard, his arms outstretched with the left arm reaching forward and down toward the wave face and the right arm extended back for balance. He wears black-and-white vertically striped board shorts, and his body is bent at the knees and waist, leaning into the motion. The surfboard beneath him angles diagonally across the lower-left portion of the frame, its nose lifted slightly. To the right and behind the surfer, a large breaking wave dominates the center-right and upper-right, producing a dense burst of white spray and foam that contrasts sharply against the darker water. The background upper portion shows deep blue ocean water, flat and textured with small ripples, filling the upper-left region. The overall color scheme combines deep blues and teals of the water with bright whites of the foam and surfboard, plus the tanned skin tone of the man. Lighting appears bright and directional, likely from the right, casting subtle shadows on the man's torso and illuminating the spray. A faint watermark sits in the lower-right corner.	Sensory-event, Visual-presentation, Foreground-view, ((Human-agent, Experiment-actor, (Torso-chest), (Crouching), ((Upper-extremity), (Reach, Forward, Downward)), ((Upper-extremity), (Retract, Backward))), Interacts-with, ((White, Item, Label/Surfboard), (Rotated, Lower-left-of))), (Clothing, Black, White, Vertically-oriented, Label/Board-shorts), ((White, Natural-feature/Foam, Natural-feature/Ocean), To-right-of, (Human-agent)), (Upper-right-of, (White, Sound)), (Background-view, Blue, Natural-feature/Ocean, Upper-left-of), (Blue, Green-color)	3387	false
