filename	"Cue_Onset	Stim_Onset	Object_Cond	Validity_Cond	Obj_Accuracy	Obj_Acc_RT	Subseq_Recog	Subseq_Recog_RT	Subseq_Source_Mem_Acc	Subseq_Source_Mem_Acc_RT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"4.0008	10.0008	OBJ	V	1	 1.0919	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"12.0533	16.0533	OBJ	V	1	 1.0198	HC-HIT	 1.8117	1	0.85016"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"18.0928	24.0928	GRE	V	1	0.94585	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"28.134	32.134	OBJ	NV	1	 1.0571	LC-MISS	 2.3246	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"36.1762	42.1762	OBJ	V	1	0.79776	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"44.2205	46.2205	GRE	V	1	 0.7516	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"48.2577	52.2577	GRE	V	1	0.77545	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"54.2975	60.2975	OBJ	V	1	0.72626	NR	NR	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"62.3395	64.3395	OBJ	NV	1	 1.8412	LC-MISS	 1.2707	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"66.3766	72.3766	GRE	V	1	 1.1422	UT	UT	UT	UT"
